age_upon_outcome,animal_id,animal_type,outcome_subtype,outcome_type,sex_upon_outcome
2 years,A671562,Dog,,Return to Owner,Spayed Female
8 months,A671563,Cat,Foster,Adoption,Neutered Male
6 months,A671565,Cat,SCRP,Transfer,Spayed Female
7 months,A671565,Cat,SCRP,Transfer,Spayed Female
16 years,A671566,Dog,,Return to Owner,Neutered Male
4 years,A671569,Dog,,Return to Owner,Spayed Female
2 years,A671572,Dog,,Return to Owner,Spayed Female
1 year,A671577,Dog,Partner,Transfer,Neutered Male
2 years,A671578,Dog,,Return to Owner,Intact Male
2 years,A671578,Dog,,Return to Owner,Neutered Male
3 years,A671581,Dog,Partner,Transfer,Intact Male
3 years,A671582,Dog,Partner,Transfer,Spayed Female
10 months,A671583,Dog,,Adoption,Neutered Male
10 months,A671583,Dog,,Adoption,Neutered Male
2 years,A671584,Dog,Partner,Transfer,Intact Male
4 months,A671585,Dog,Partner,Transfer,Intact Male
3 months,A671586,Dog,,Adoption,Neutered Male
4 months,A671586,Dog,,Adoption,Neutered Male
4 months,A671587,Dog,Partner,Transfer,Intact Female
4 months,A671588,Dog,Partner,Transfer,Intact Female
8 months,A671590,Dog,,Adoption,Neutered Male
4 months,A671596,Dog,Partner,Transfer,Spayed Female
2 months,A671598,Dog,Partner,Transfer,Intact Female
2 months,A671599,Dog,Partner,Transfer,Intact Female
1 year,A671601,Dog,,Return to Owner,Spayed Female
1 year,A671601,Dog,,Return to Owner,Intact Female
3 years,A671603,Dog,,Adoption,Neutered Male
2 years,A671604,Dog,,Return to Owner,Neutered Male
1 year,A671605,Cat,SCRP,Transfer,Neutered Male
1 year,A671607,Dog,,Adoption,Spayed Female
1 year,A671608,Dog,Partner,Transfer,Intact Male
1 year,A671609,Dog,,Adoption,Neutered Male
2 years,A671609,Dog,Partner,Transfer,Neutered Male
6 years,A671620,Dog,Partner,Transfer,Neutered Male
10 years,A671623,Cat,Suffering,Euthanasia,Intact Male
5 months,A671624,Cat,SCRP,Transfer,Unknown
5 years,A671627,Dog,,Return to Owner,Neutered Male
5 years,A671627,Dog,,Return to Owner,Neutered Male
4 years,A671629,Cat,Partner,Transfer,Spayed Female
1 year,A671631,Cat,SCRP,Transfer,Unknown
3 years,A671636,Dog,Aggressive,Euthanasia,Neutered Male
1 year,A671637,Dog,,Adoption,Spayed Female
1 year,A671638,Dog,Partner,Transfer,Spayed Female
2 years,A671639,Dog,Suffering,Euthanasia,Intact Female
2 years,A671641,Dog,,Adoption,Spayed Female
2 months,A671642,Dog,,Adoption,Neutered Male
6 years,A671644,Dog,,Return to Owner,Intact Male
8 years,A671644,Dog,,Adoption,Intact Male
8 years,A671644,Dog,,Return to Owner,Intact Male
1 year,A671647,Dog,,Adoption,Neutered Male
1 year,A671647,Dog,,Adoption,Neutered Male
1 year,A671649,Dog,,Adoption,Neutered Male
8 years,A671667,Dog,,Return to Owner,Spayed Female
1 year,A671669,Dog,,Adoption,Neutered Male
1 year,A671669,Dog,,Adoption,Neutered Male
2 years,A671670,Cat,SCRP,Transfer,Neutered Male
2 years,A671673,Cat,SCRP,Transfer,Intact Male
3 years,A671674,Cat,,Adoption,Neutered Male
1 year,A671675,Cat,,Adoption,Neutered Male
1 year,A671678,Dog,,Adoption,Neutered Male
2 years,A671681,Cat,SCRP,Transfer,Unknown
2 years,A671682,Cat,SCRP,Transfer,Neutered Male
3 years,A671684,Dog,,Return to Owner,Neutered Male
4 years,A671684,Dog,,Return to Owner,Neutered Male
6 years,A671684,Dog,Partner,Transfer,Neutered Male
2 years,A671685,Dog,Partner,Transfer,Neutered Male
11 months,A671686,Dog,,Return to Owner,Intact Female
13 years,A671687,Dog,Suffering,Euthanasia,Spayed Female
2 months,A671693,Dog,,Adoption,Spayed Female
11 years,A671695,Dog,In Foster,Died,Spayed Female
2 months,A671698,Dog,,Adoption,Neutered Male
2 years,A671704,Dog,,Return to Owner,Spayed Female
3 years,A671704,Dog,,Return to Owner,Spayed Female
3 years,A671704,Dog,,Return to Owner,Spayed Female
4 years,A671704,Dog,,Return to Owner,Spayed Female
4 years,A671704,Dog,,Return to Owner,Spayed Female
3 years,A671704,Dog,,Return to Owner,Spayed Female
3 years,A671704,Dog,,Return to Owner,Spayed Female
2 years,A671706,Dog,Aggressive,Euthanasia,Intact Female
1 year,A671711,Dog,Partner,Transfer,Spayed Female
1 year,A671712,Dog,Partner,Transfer,Spayed Female
1 year,A671715,Dog,,Adoption,Neutered Male
5 months,A671716,Dog,,Adoption,Neutered Male
2 months,A671724,Dog,Foster,Adoption,Spayed Female
1 month,A671725,Dog,Offsite,Adoption,Spayed Female
2 years,A671728,Dog,,Adoption,Neutered Male
1 year,A671729,Dog,Partner,Transfer,Neutered Male
1 year,A671730,Cat,,Adoption,Neutered Male
7 years,A671731,Dog,,Adoption,Neutered Male
2 years,A671732,Dog,,Adoption,Neutered Male
