age_upon_intake,animal_id,animal_type,intake_condition,intake_type,sex_upon_intake
10 years,A484400,Dog,Normal,Stray,Neutered Male
7 years,A484400,Dog,Normal,Public Assist,Neutered Male
9 years,A484463,Cat,Normal,Stray,Neutered Male
10 years,A484851,Dog,Normal,Stray,Spayed Female
7 years,A484925,Dog,Sick,Stray,Intact Female
7 years,A484945,Cat,Normal,Owner Surrender,Neutered Male
10 years,A485350,Dog,Normal,Stray,Neutered Male
11 years,A485352,Cat,Normal,Owner Surrender,Spayed Female
6 years,A485651,Dog,Normal,Stray,Spayed Female
9 years,A485674,Dog,Normal,Stray,Neutered Male
11 years,A485940,Dog,Normal,Owner Surrender,Spayed Female
14 years,A485955,Dog,Normal,Stray,Neutered Male
8 years,A486513,Cat,Normal,Stray,Neutered Male
9 years,A486573,Dog,Sick,Euthanasia Request,Neutered Male
8 years,A486687,Dog,Normal,Stray,Spayed Female
9 years,A486898,Dog,Normal,Stray,Neutered Male
10 years,A487013,Dog,Sick,Public Assist,Neutered Male
8 years,A487253,Cat,Normal,Owner Surrender,Neutered Male
6 years,A487253,Cat,Normal,Owner Surrender,Neutered Male
9 years,A487470,Dog,Normal,Owner Surrender,Neutered Male
7 years,A488066,Dog,Normal,Stray,Neutered Male
8 years,A488203,Dog,Normal,Public Assist,Neutered Male
11 years,A488204,Dog,Normal,Stray,Neutered Male
8 years,A488234,Dog,Normal,Public Assist,Neutered Male
8 years,A488304,Dog,Normal,Stray,Neutered Male
8 years,A488740,Dog,Normal,Owner Surrender,Neutered Male
11 years,A489376,Dog,Injured,Stray,Neutered Male
10 years,A489376,Dog,Normal,Public Assist,Neutered Male
9 years,A489415,Cat,Normal,Owner Surrender,Neutered Male
9 years,A489417,Cat,Normal,Owner Surrender,Spayed Female
8 years,A489464,Dog,Normal,Stray,Spayed Female
7 years,A489503,Cat,Sick,Euthanasia Request,Spayed Female
13 years,A489686,Dog,Normal,Stray,Neutered Male
14 years,A489704,Dog,Normal,Owner Surrender,Neutered Male
10 years,A489912,Dog,Aged,Owner Surrender,Neutered Male
9 years,A490091,Dog,Sick,Euthanasia Request,Spayed Female
8 years,A490776,Dog,Normal,Stray,Neutered Male
9 years,A490893,Dog,Normal,Stray,Neutered Male
7 years,A491764,Dog,Normal,Stray,Spayed Female
8 years,A491810,Dog,Other,Euthanasia Request,Spayed Female
7 years,A491814,Dog,Normal,Stray,Spayed Female
7 years,A491814,Dog,Normal,Stray,Spayed Female
10 years,A491818,Dog,Normal,Stray,Spayed Female
10 years,A492030,Dog,Normal,Stray,Neutered Male
7 years,A492808,Dog,Normal,Owner Surrender,Neutered Male
11 years,A492949,Dog,Aged,Stray,Neutered Male
12 years,A493167,Dog,Normal,Owner Surrender,Spayed Female
13 years,A493225,Dog,Normal,Stray,Neutered Male
13 years,A493225,Dog,Normal,Owner Surrender,Neutered Male
6 years,A493291,Dog,Normal,Stray,Neutered Male
13 years,A493761,Dog,Normal,Public Assist,Neutered Male
6 years,A493772,Dog,Normal,Owner Surrender,Neutered Male
8 years,A494120,Dog,Normal,Stray,Intact Male
8 years,A494120,Dog,Normal,Owner Surrender,Neutered Male
8 years,A494170,Dog,Normal,Stray,Neutered Male
10 years,A494176,Dog,Normal,Stray,Spayed Female
8 years,A494226,Dog,Sick,Stray,Neutered Male
11 years,A494990,Dog,Other,Stray,Neutered Male
12 years,A495008,Dog,Normal,Stray,Neutered Male
8 years,A495060,Dog,Normal,Owner Surrender,Spayed Female
8 years,A495060,Dog,Normal,Owner Surrender,Spayed Female
10 years,A495308,Dog,Normal,Stray,Spayed Female
11 years,A495369,Dog,Normal,Stray,Spayed Female
9 years,A495740,Dog,Normal,Owner Surrender,Neutered Male
6 years,A495792,Cat,Normal,Owner Surrender,Neutered Male
6 years,A496561,Dog,Normal,Public Assist,Neutered Male
14 years,A496619,Dog,Normal,Stray,Neutered Male
7 years,A496789,Cat,Injured,Owner Surrender,Spayed Female
10 years,A497904,Dog,Normal,Stray,Spayed Female
7 years,A498100,Dog,Normal,Owner Surrender,Neutered Male
9 years,A498537,Dog,Normal,Public Assist,Neutered Male
9 years,A498720,Dog,Normal,Stray,Spayed Female
8 years,A498735,Dog,Normal,Public Assist,Spayed Female
8 years,A498842,Dog,Normal,Owner Surrender,Intact Male
7 years,A499024,Dog,Normal,Owner Surrender,Spayed Female
8 years,A499156,Dog,Normal,Owner Surrender,Spayed Female
8 years,A499387,Cat,Normal,Owner Surrender,Spayed Female
7 years,A500002,Dog,Normal,Stray,Intact Male
6 years,A500002,Dog,Normal,Public Assist,Intact Male
13 years,A500065,Cat,Normal,Stray,Neutered Male
10 years,A500073,Dog,Normal,Stray,Neutered Male
9 years,A500349,Dog,Normal,Owner Surrender,Neutered Male
6 years,A500862,Dog,Normal,Stray,Spayed Female
10 years,A500873,Cat,Normal,Owner Surrender,Spayed Female
9 years,A500955,Cat,Normal,Owner Surrender,Neutered Male
7 years,A501071,Cat,Normal,Public Assist,Neutered Male
7 years,A501076,Dog,Normal,Public Assist,Intact Female
9 years,A501193,Dog,Aged,Stray,Neutered Male
8 years,A501255,Dog,Normal,Stray,Intact Male
9 years,A501433,Dog,Normal,Stray,Neutered Male
9 years,A501443,Dog,Normal,Owner Surrender,Spayed Female
8 years,A501600,Dog,Normal,Stray,Neutered Male
7 years,A502125,Dog,Normal,Public Assist,Spayed Female
8 years,A502315,Dog,Injured,Stray,Neutered Male
10 years,A502606,Dog,Normal,Owner Surrender,Spayed Female
10 years,A502800,Dog,Normal,Stray,Neutered Male
7 years,A502862,Dog,Normal,Public Assist,Neutered Male
7 years,A502862,Dog,Normal,Public Assist,Neutered Male
6 years,A503335,Dog,Normal,Stray,Neutered Male
10 years,A503370,Dog,Normal,Stray,Spayed Female
7 years,A503371,Dog,Normal,Stray,Spayed Female
7 years,A503376,Dog,Injured,Stray,Intact Male
10 years,A503431,Dog,Normal,Owner Surrender,Spayed Female
11 years,A503580,Dog,Normal,Stray,Neutered Male
7 years,A503709,Dog,Normal,Stray,Spayed Female
7 years,A503799,Dog,Normal,Owner Surrender,Spayed Female
10 years,A503957,Cat,Normal,Owner Surrender,Neutered Male
7 years,A504009,Dog,Normal,Stray,Neutered Male
7 years,A504009,Dog,Normal,Stray,Neutered Male
3 years,A504094,Dog,Normal,Stray,Intact Male
9 years,A504189,Dog,Normal,Public Assist,Neutered Male
6 years,A504280,Dog,Normal,Public Assist,Neutered Male
16 years,A504723,Dog,Aged,Owner Surrender,Spayed Female
7 years,A504801,Cat,Normal,Stray,Neutered Male
9 years,A504813,Dog,Normal,Stray,Intact Female
11 years,A504891,Dog,Normal,Owner Surrender,Intact Male
5 years,A505682,Dog,Normal,Owner Surrender,Neutered Male
7 years,A505889,Dog,Normal,Stray,Spayed Female
9 years,A506000,Dog,Normal,Owner Surrender,Neutered Male
7 years,A506241,Cat,Normal,Owner Surrender,Neutered Male
9 years,A506775,Dog,Aged,Owner Surrender,Spayed Female
9 years,A506775,Dog,Aged,Stray,Spayed Female
6 years,A506854,Dog,Normal,Stray,Neutered Male
9 years,A506854,Dog,Normal,Stray,Neutered Male
8 years,A506854,Dog,Normal,Stray,Neutered Male
7 years,A506972,Dog,Normal,Stray,Spayed Female
6 years,A507557,Dog,Normal,Stray,Neutered Male
6 years,A507614,Dog,Normal,Euthanasia Request,Neutered Male
13 years,A507705,Cat,Normal,Owner Surrender,Neutered Male
11 years,A507728,Dog,Sick,Euthanasia Request,Spayed Female
6 years,A508026,Dog,Normal,Public Assist,Spayed Female
9 years,A508027,Dog,Injured,Stray,Intact Female
11 years,A508053,Dog,Normal,Owner Surrender,Spayed Female
11 years,A508053,Dog,Normal,Public Assist,Spayed Female
9 years,A508549,Dog,Normal,Stray,Spayed Female
8 years,A508692,Cat,Normal,Owner Surrender,Spayed Female
16 years,A508767,Cat,Normal,Owner Surrender,Neutered Male
8 years,A509042,Cat,Normal,Owner Surrender,Neutered Male
12 years,A509204,Dog,Normal,Stray,Spayed Female
8 years,A509226,Cat,Normal,Stray,Neutered Male
8 years,A509228,Dog,Normal,Stray,Neutered Male
7 years,A509390,Dog,Normal,Public Assist,Neutered Male
6 years,A509868,Dog,Normal,Stray,Spayed Female
7 years,A510247,Dog,Normal,Stray,Neutered Male
7 years,A510247,Dog,Normal,Stray,Neutered Male
6 years,A510336,Cat,Normal,Owner Surrender,Neutered Male
7 years,A510475,Dog,Normal,Stray,Intact Male
11 years,A510803,Dog,Normal,Stray,Spayed Female
5 years,A510997,Cat,Normal,Owner Surrender,Neutered Male
7 years,A511050,Dog,Normal,Public Assist,Neutered Male
5 years,A511198,Dog,Normal,Stray,Neutered Male
7 years,A511822,Cat,Normal,Owner Surrender,Spayed Female
6 years,A512158,Cat,Normal,Stray,Spayed Female
6 years,A512959,Dog,Normal,Owner Surrender,Neutered Male
8 years,A513419,Dog,Normal,Stray,Neutered Male
8 years,A513770,Cat,Normal,Stray,Neutered Male
9 years,A513956,Dog,Normal,Owner Surrender,Spayed Female
7 years,A514005,Dog,Normal,Stray,Neutered Male
10 years,A514009,Dog,Normal,Stray,Neutered Male
9 years,A514236,Dog,Normal,Stray,Neutered Male
10 years,A514445,Dog,Normal,Stray,Neutered Male
8 years,A514445,Dog,Normal,Stray,Neutered Male
6 years,A514631,Cat,Normal,Owner Surrender,Neutered Male
7 years,A514866,Dog,Normal,Stray,Neutered Male
6 years,A515049,Dog,Normal,Owner Surrender,Neutered Male
8 years,A515112,Dog,Normal,Stray,Neutered Male
7 years,A515271,Dog,Normal,Stray,Neutered Male
14 years,A515347,Dog,Normal,Public Assist,Neutered Male
10 years,A515453,Dog,Normal,Stray,Neutered Male
10 years,A515503,Dog,Normal,Stray,Neutered Male
6 years,A515605,Dog,Normal,Stray,Spayed Female
9 years,A515661,Dog,Normal,Stray,Spayed Female
7 years,A515677,Dog,Normal,Stray,Spayed Female
9 years,A515757,Dog,Normal,Stray,Neutered Male
9 years,A515757,Dog,Normal,Stray,Neutered Male
9 years,A515757,Dog,Normal,Stray,Neutered Male
14 years,A515831,Cat,Normal,Stray,Spayed Female
9 years,A516259,Dog,Normal,Owner Surrender,Spayed Female
10 years,A516260,Dog,Normal,Owner Surrender,Spayed Female
10 years,A516577,Dog,Normal,Owner Surrender,Neutered Male
9 years,A516577,Dog,Injured,Stray,Neutered Male
6 years,A516660,Dog,Normal,Stray,Spayed Female
8 years,A516705,Dog,Normal,Public Assist,Neutered Male
5 years,A516904,Dog,Normal,Stray,Neutered Male
9 years,A517501,Cat,Normal,Owner Surrender,Spayed Female
10 years,A517502,Cat,Normal,Owner Surrender,Neutered Male
11 years,A517675,Dog,Normal,Owner Surrender,Spayed Female
11 years,A517675,Dog,Normal,Owner Surrender,Spayed Female
11 years,A517675,Dog,Normal,Owner Surrender,Spayed Female
6 years,A518184,Dog,Normal,Stray,Neutered Male
5 years,A518264,Dog,Normal,Stray,Neutered Male
9 years,A518545,Dog,Normal,Public Assist,Spayed Female
9 years,A518769,Dog,Normal,Stray,Spayed Female
8 years,A518911,Dog,Normal,Stray,Spayed Female
9 years,A518937,Dog,Normal,Stray,Spayed Female
6 years,A519025,Cat,Normal,Owner Surrender,Neutered Male
6 years,A519536,Cat,Normal,Stray,Spayed Female
6 years,A519888,Dog,Normal,Euthanasia Request,Neutered Male
9 years,A519949,Dog,Normal,Public Assist,Spayed Female
6 years,A520040,Dog,Normal,Public Assist,Spayed Female
5 years,A520195,Cat,Injured,Stray,Spayed Female
8 years,A520337,Dog,Normal,Stray,Neutered Male
8 years,A520355,Dog,Normal,Stray,Neutered Male
6 years,A520572,Dog,Normal,Stray,Spayed Female
9 years,A520786,Cat,Normal,Owner Surrender,Spayed Female
7 years,A521224,Dog,Normal,Stray,Spayed Female
10 years,A521233,Dog,Normal,Stray,Neutered Male
7 years,A521273,Dog,Normal,Stray,Spayed Female
8 years,A521316,Dog,Normal,Owner Surrender,Spayed Female
7 years,A521520,Dog,Normal,Stray,Spayed Female
7 years,A521781,Dog,Normal,Stray,Neutered Male
5 years,A521806,Cat,Normal,Owner Surrender,Spayed Female
7 years,A521865,Dog,Injured,Stray,Neutered Male
12 years,A521990,Dog,Normal,Stray,Spayed Female
10 years,A522050,Dog,Normal,Public Assist,Neutered Male
17 years,A522054,Dog,Aged,Owner Surrender,Spayed Female
5 years,A522484,Cat,Normal,Public Assist,Spayed Female
7 years,A522774,Dog,Normal,Stray,Neutered Male
8 years,A522809,Dog,Normal,Public Assist,Neutered Male
9 years,A522952,Dog,Injured,Euthanasia Request,Intact Female
9 years,A523102,Cat,Normal,Owner Surrender,Neutered Male
7 years,A523114,Dog,Normal,Stray,Spayed Female
9 years,A523179,Dog,Normal,Stray,Neutered Male
5 years,A523371,Cat,Normal,Owner Surrender,Spayed Female
6 years,A523396,Dog,Normal,Euthanasia Request,Spayed Female
12 years,A523532,Dog,Normal,Stray,Intact Female
14 years,A523533,Dog,Normal,Stray,Spayed Female
5 years,A523719,Dog,Normal,Stray,Neutered Male
8 years,A524092,Dog,Normal,Stray,Spayed Female
9 years,A524092,Dog,Normal,Owner Surrender,Spayed Female
8 years,A524092,Dog,Normal,Stray,Spayed Female
8 years,A524092,Dog,Normal,Stray,Spayed Female
8 years,A524150,Dog,Normal,Stray,Spayed Female
8 years,A524313,Dog,Normal,Stray,Spayed Female
8 years,A524634,Dog,Normal,Stray,Intact Female
7 years,A524680,Dog,Normal,Stray,Spayed Female
12 years,A524954,Dog,Normal,Stray,Spayed Female
7 years,A525136,Cat,Normal,Owner Surrender,Spayed Female
10 years,A525511,Dog,Normal,Stray,Neutered Male
7 years,A525592,Cat,Normal,Stray,Spayed Female
6 years,A525768,Dog,Normal,Owner Surrender,Spayed Female
6 years,A525938,Dog,Normal,Stray,Neutered Male
8 years,A526144,Dog,Normal,Stray,Neutered Male
6 years,A526237,Dog,Normal,Stray,Spayed Female
8 years,A526257,Dog,Normal,Stray,Neutered Male
10 years,A526328,Dog,Normal,Public Assist,Intact Male
7 years,A526641,Dog,Normal,Stray,Neutered Male
6 years,A526647,Dog,Injured,Stray,Neutered Male
5 years,A527020,Dog,Normal,Stray,Spayed Female
6 years,A527094,Cat,Normal,Stray,Neutered Male
6 years,A527170,Dog,Normal,Owner Surrender,Spayed Female
8 years,A527215,Dog,Normal,Stray,Neutered Male
11 years,A527519,Dog,Normal,Stray,Spayed Female
10 years,A527535,Dog,Normal,Owner Surrender,Neutered Male
7 years,A527825,Dog,Injured,Stray,Spayed Female
9 years,A527951,Dog,Normal,Stray,Spayed Female
19 years,A528040,Dog,Normal,Stray,Spayed Female
20 years,A528040,Dog,Injured,Stray,Spayed Female
5 years,A528321,Dog,Normal,Owner Surrender,Spayed Female
6 years,A528322,Dog,Normal,Owner Surrender,Neutered Male
8 years,A528354,Cat,Normal,Stray,Spayed Female
6 years,A528477,Dog,Normal,Stray,Neutered Male
5 years,A528477,Dog,Normal,Stray,Neutered Male
6 years,A528524,Dog,Normal,Stray,Neutered Male
7 years,A528524,Dog,Injured,Stray,Neutered Male
10 years,A528954,Dog,Normal,Stray,Neutered Male
5 years,A528982,Dog,Normal,Owner Surrender,Spayed Female
11 years,A529027,Dog,Normal,Stray,Spayed Female
6 years,A529211,Cat,Normal,Stray,Neutered Male
10 years,A529310,Dog,Normal,Public Assist,Spayed Female
8 years,A529310,Dog,Normal,Stray,Spayed Female
8 years,A529310,Dog,Normal,Stray,Intact Female
12 years,A529318,Dog,Normal,Stray,Neutered Male
5 years,A529609,Dog,Normal,Stray,Spayed Female
9 years,A529630,Cat,Normal,Stray,Spayed Female
9 years,A529648,Dog,Normal,Stray,Neutered Male
7 years,A529766,Dog,Normal,Stray,Neutered Male
8 years,A529868,Dog,Normal,Stray,Spayed Female
6 years,A529881,Dog,Normal,Stray,Neutered Male
9 years,A529890,Dog,Normal,Euthanasia Request,Intact Male
3 years,A529956,Dog,Normal,Public Assist,Spayed Female
7 years,A530122,Dog,Normal,Stray,Intact Female
6 years,A530134,Dog,Normal,Stray,Neutered Male
9 years,A530190,Dog,Normal,Euthanasia Request,Neutered Male
15 years,A530302,Cat,Normal,Owner Surrender,Spayed Female
8 years,A530460,Dog,Normal,Stray,Spayed Female
6 years,A530460,Dog,Normal,Stray,Spayed Female
6 years,A530461,Dog,Normal,Stray,Spayed Female
8 years,A530547,Dog,Normal,Stray,Neutered Male
12 years,A530589,Dog,Normal,Stray,Spayed Female
7 years,A530786,Dog,Normal,Stray,Neutered Male
5 years,A530793,Cat,Normal,Owner Surrender,Neutered Male
5 years,A530793,Cat,Normal,Stray,Neutered Male
8 years,A530800,Dog,Normal,Stray,Neutered Male
7 years,A531069,Dog,Normal,Stray,Neutered Male
9 years,A531234,Dog,Normal,Stray,Neutered Male
7 years,A531278,Dog,Normal,Stray,Intact Male
10 years,A531317,Dog,Normal,Owner Surrender,Neutered Male
10 years,A531317,Dog,Normal,Owner Surrender,Neutered Male
8 years,A531379,Dog,Normal,Stray,Neutered Male
11 years,A531394,Dog,Normal,Stray,Neutered Male
9 years,A531398,Dog,Normal,Stray,Neutered Male
10 years,A531549,Dog,Normal,Stray,Neutered Male
6 years,A531598,Dog,Normal,Stray,Neutered Male
9 years,A531621,Dog,Normal,Stray,Neutered Male
11 years,A531698,Dog,Normal,Owner Surrender,Spayed Female
11 years,A531698,Dog,Normal,Stray,Spayed Female
7 years,A531699,Dog,Normal,Owner Surrender,Spayed Female
6 years,A531739,Dog,Normal,Owner Surrender,Neutered Male
7 years,A531969,Dog,Normal,Owner Surrender,Neutered Male
7 years,A532017,Dog,Normal,Owner Surrender,Spayed Female
7 years,A532282,Dog,Normal,Stray,Spayed Female
5 years,A532351,Dog,Normal,Stray,Spayed Female
6 years,A532351,Dog,Normal,Stray,Spayed Female
6 years,A532406,Dog,Normal,Stray,Spayed Female
8 years,A532455,Dog,Sick,Euthanasia Request,Neutered Male
6 years,A532505,Cat,Normal,Stray,Spayed Female
8 years,A532694,Dog,Normal,Stray,Neutered Male
8 years,A532694,Dog,Normal,Stray,Neutered Male
10 years,A532762,Dog,Normal,Stray,Neutered Male
7 years,A532925,Dog,Normal,Public Assist,Neutered Male
7 years,A533019,Dog,Normal,Public Assist,Intact Male
7 years,A533106,Dog,Normal,Stray,Intact Male
8 years,A533243,Dog,Normal,Stray,Neutered Male
8 years,A533243,Dog,Normal,Stray,Neutered Male
5 years,A533557,Dog,Normal,Public Assist,Neutered Male
7 years,A533602,Dog,Normal,Stray,Spayed Female
9 years,A533602,Dog,Normal,Stray,Spayed Female
8 years,A533628,Cat,Feral,Stray,Spayed Female
9 years,A533649,Dog,Normal,Stray,Spayed Female
7 years,A533795,Cat,Normal,Owner Surrender,Spayed Female
10 years,A533842,Dog,Normal,Stray,Neutered Male
11 years,A534208,Dog,Normal,Owner Surrender,Spayed Female
9 years,A534366,Dog,Normal,Stray,Neutered Male
7 years,A534502,Dog,Normal,Stray,Neutered Male
6 years,A534548,Dog,Normal,Stray,Spayed Female
6 years,A534623,Dog,Normal,Stray,Spayed Female
5 years,A534623,Dog,Normal,Stray,Spayed Female
7 years,A534644,Dog,Normal,Stray,Neutered Male
9 years,A534780,Dog,Normal,Owner Surrender,Neutered Male
9 years,A534780,Dog,Normal,Owner Surrender,Neutered Male
6 years,A534780,Dog,Normal,Stray,Neutered Male
6 years,A534780,Dog,Normal,Stray,Neutered Male
8 years,A534959,Dog,Normal,Stray,Spayed Female
6 years,A534984,Dog,Normal,Stray,Neutered Male
7 years,A535012,Dog,Normal,Public Assist,Neutered Male
9 years,A535012,Dog,Normal,Public Assist,Neutered Male
8 years,A535071,Dog,Normal,Stray,Neutered Male
5 years,A535124,Dog,Normal,Stray,Neutered Male
12 years,A535277,Dog,Injured,Stray,Neutered Male
9 years,A535292,Dog,Injured,Owner Surrender,Neutered Male
7 years,A535375,Dog,Normal,Stray,Spayed Female
5 years,A535484,Dog,Normal,Stray,Neutered Male
9 years,A535492,Cat,Normal,Owner Surrender,Spayed Female
9 years,A535700,Dog,Normal,Stray,Neutered Male
11 years,A535768,Dog,Normal,Owner Surrender,Spayed Female
7 years,A535897,Cat,Normal,Public Assist,Spayed Female
7 years,A536035,Dog,Sick,Stray,Spayed Female
6 years,A536132,Dog,Normal,Owner Surrender,Spayed Female
8 years,A536136,Dog,Normal,Public Assist,Intact Female
8 years,A536388,Dog,Normal,Public Assist,Neutered Male
8 years,A536404,Dog,Normal,Owner Surrender,Spayed Female
8 years,A536404,Dog,Normal,Owner Surrender,Spayed Female
7 years,A536506,Dog,Normal,Owner Surrender,Spayed Female
8 years,A536757,Dog,Normal,Public Assist,Spayed Female
7 years,A537127,Dog,Normal,Stray,Neutered Male
8 years,A537127,Dog,Injured,Stray,Neutered Male
8 years,A537127,Dog,Normal,Stray,Neutered Male
7 years,A537149,Dog,Normal,Owner Surrender,Neutered Male
6 years,A537247,Dog,Normal,Owner Surrender,Intact Male
11 years,A537300,Dog,Aged,Stray,Neutered Male
10 years,A538092,Cat,Normal,Stray,Neutered Male
7 years,A538284,Dog,Normal,Owner Surrender,Neutered Male
8 years,A538342,Dog,Injured,Stray,Intact Female
9 years,A538360,Dog,Normal,Stray,Spayed Female
7 years,A538370,Cat,Normal,Owner Surrender,Spayed Female
7 years,A538370,Cat,Normal,Owner Surrender,Spayed Female
8 years,A538454,Dog,Injured,Stray,Spayed Female
9 years,A538454,Dog,Normal,Public Assist,Spayed Female
5 years,A538585,Dog,Injured,Stray,Spayed Female
7 years,A538603,Dog,Normal,Stray,Neutered Male
7 years,A538702,Cat,Normal,Owner Surrender,Spayed Female
14 years,A538855,Cat,Sick,Stray,Spayed Female
5 years,A538907,Cat,Normal,Owner Surrender,Neutered Male
8 years,A539059,Dog,Normal,Stray,Neutered Male
5 years,A539175,Dog,Normal,Stray,Neutered Male
